participant_id,account_id,session_id,mode,age_group,gender,total_tasks,answered_tasks,solved_tasks,accuracy_total,accuracy_answered,answered_rate,mean_rt_ms,median_rt_ms,p90_rt_ms,first_level,last_level,max_level,level_gain,completed_batches,task_span_minutes
participant_02,valya,s1772382949_valya,baseline,29-34,male,47,46,35,0.7446808510638298,0.7608695652173914,0.9787234042553191,1399.7608695652175,1164.0,2439.5,1.0,2.0,2.0,1.0,5,28.86623528333333
participant_02,valya,s1772383241_valya,baseline,29-34,male,61,59,48,0.7868852459016393,0.8135593220338984,0.9672131147540983,1437.949152542373,1225.0,2283.4,1.0,4.0,4.0,3.0,7,4.633646016666666
participant_02,rocty,s1773763684_rocty,baseline,29-34,male,94,85,79,0.8404255319148937,0.9294117647058824,0.9042553191489362,2308.9176470588236,2163.0,3425.0000000000005,1.0,8.0,8.0,7.0,10,10.119373183333332
participant_02,rocty,s1773764301_rocty,baseline,29-34,male,320,315,294,0.91875,0.9333333333333333,0.984375,1941.1015873015874,1649.0,3370.2000000000003,1.0,10.0,10.0,9.0,32,15.666609283333335
participant_02,rocty_the_second,s1775137881_rocty_the_second,baseline,29-34,male,20,19,19,0.95,1.0,0.95,1564.9473684210527,1276.0,2564.2,1.0,2.0,2.0,1.0,2,1.18591745
participant_02,rocty,s1775404866_rocty,baseline,29-34,male,870,848,772,0.8873563218390804,0.910377358490566,0.9747126436781609,1660.2004716981132,1413.5,2993.0,1.0,10.0,10.0,9.0,87,30.3133376
participant_03,piski99,s1773776686_piski99,baseline,25-28,female,1,0,0,0.0,,0.0,,,,1.0,1.0,1.0,0.0,1,
participant_03,piski99,s1773776703_piski99,baseline,25-28,female,70,67,63,0.9,0.9402985074626866,0.9571428571428572,2502.417910447761,2138.0,4153.4,1.0,5.0,5.0,4.0,7,1289.3694206166665
participant_03,piski99,s1773854097_piski99,baseline,25-28,female,100,96,82,0.82,0.8541666666666666,0.96,1840.1041666666667,1602.0,3313.0,1.0,7.0,7.0,6.0,10,4.367198083333333
participant_04,bay,s1774283943_bay,baseline,25-28,male,444,429,380,0.8558558558558559,0.8857808857808858,0.9662162162162162,1827.7319347319346,1502.0,3289.2,1.0,10.0,10.0,9.0,45,116.83918086666667
participant_04,bay,s1774290961_bay,baseline,25-28,male,222,217,198,0.8918918918918919,0.9124423963133641,0.9774774774774775,2112.082949308756,1859.0,3353.6,1.0,10.0,10.0,9.0,23,8.017356883333333
participant_05,zzz,s1773773303_zzz,baseline,25-28,female,57,29,18,0.3157894736842105,0.6206896551724138,0.5087719298245614,2190.103448275862,1965.0,3758.6,1.0,1.0,1.0,0.0,6,37.4677519
